year,category,variable,units,magnitude,source,data_value,flag
2007,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,42.1,F
2008,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,39.4,F
2009,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,39.9,R
2010,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,40.8,F
2011,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,39.9,F
2012,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.6,F
2013,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.7,F
2014,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.1,F
2015,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,40.3,F
2016,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,40.8,F
2017,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.6,F
2018,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.8,F
2019,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.4,F
2020,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,42.7,P
2021,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,38.6,P
2007,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,24.5,F
2008,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,13.5,F
2009,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,16.2,F
2010,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,17,F
2011,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,18.5,F
2012,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,19,F
2013,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,19.8,F
2014,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,20.4,F
2015,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,22,F
2016,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,29.5,F
2017,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.6,F
2018,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.5,F
2019,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.4,F
2020,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,28.4,P
2021,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,28.7,P
2007,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,41.6,F
2008,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,38.4,F
2009,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,38.9,F
2010,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,38.6,F
2011,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,38.6,F
2012,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,40.3,F
2013,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,39.8,F
2014,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,39.9,F
2015,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,34.3,F
2016,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,33.6,F
2017,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,35.3,F
2018,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,35.9,F
2019,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,35,F
2020,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,36.1,P
2021,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,36.8,P
2007,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2008,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.3,F
2009,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2010,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2011,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2012,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2013,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2014,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2015,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2016,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.5,F
2017,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2018,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2019,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2020,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,P
2021,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.3,P
2007,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,715722,F
2008,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,564630,F
2009,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,688792,F
2010,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,762224,F
2011,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,851073,F
2012,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,839194,F
2013,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,854833,F
2014,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,836932,F
2015,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,931997,F
2016,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1155732,F
2017,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1072676,F
2018,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1162212,F
2019,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1196428,F
2020,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1297788,P
2021,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1123163,P
2007,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,615354,F
2008,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,591765,F
2009,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,637548,F
2010,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,623250,F
2011,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,650658,F
2012,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,703318,F
2013,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,692340,F
2014,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,691232,F
2015,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,670046,F
2016,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,671836,F
2017,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,714778,R
2018,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,763851,R
2019,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,785034,R
2020,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,837069,P
2021,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,855165,P
2007,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,203370,R
2008,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,206220,R
2009,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,230650,R
2010,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,251050,R
2011,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,271290,R
2012,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,276220,R
2013,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,291470,R
2014,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,297790,R
2015,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,284760,R
2016,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,281240,R
2017,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,282940,R
2018,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,288950,R
2019,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,305280,R
2020,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,328510,P
2021,Fisheries and aquaculture,Mean earnings,Dollars,Thousands,LEED,355510,P
2007,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,15726,F
2008,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14655,F
2009,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14577,R
2010,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,13803,F
2011,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,13437,R
2012,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14109,R
2013,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,13764,F
2014,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14403,R
2015,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14145,R
2016,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14598,F
2017,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,15834,R
2018,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,16233,R
2019,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,16491,R
2020,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,17349,P
2021,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,15240,P
2009,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2010,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2011,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
